Time (UTCG),Semi-major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Arg of Perigee (deg),True Anomaly (deg),Mean Anomaly (deg)
00:00.0,6978.137,0,35.127,69.757,0,34.915,34.915
00:01.0,6978.137,0,35.127,69.757,0,34.977,34.977
00:02.0,6978.137,0,35.127,69.757,0,35.039,35.039
00:03.0,6978.137,0,35.127,69.757,0,35.101,35.101
00:04.0,6978.137,0,35.127,69.757,0,35.163,35.163
00:05.0,6978.137,0,35.127,69.757,0,35.225,35.225
00:06.0,6978.137,0,35.127,69.757,0,35.287,35.287
00:07.0,6978.137,0,35.127,69.757,0,35.349,35.349
00:08.0,6978.137,0,35.127,69.757,0,35.411,35.411
00:09.0,6978.137,0,35.127,69.757,0,35.473,35.473
00:10.0,6978.137,0,35.127,69.757,0,35.535,35.535
00:11.0,6978.137,0,35.127,69.757,0,35.597,35.597
00:12.0,6978.137,0,35.127,69.757,0,35.659,35.659
00:13.0,6978.137,0,35.127,69.757,0,35.721,35.721
00:14.0,6978.137,0,35.127,69.757,0,35.783,35.783
00:15.0,6978.137,0,35.127,69.757,0,35.846,35.846
00:16.0,6978.137,0,35.127,69.757,0,35.908,35.908
00:17.0,6978.137,0,35.127,69.757,0,35.97,35.97
00:18.0,6978.137,0,35.127,69.757,0,36.032,36.032
00:19.0,6978.137,0,35.127,69.757,0,36.094,36.094
00:20.0,6978.137,0,35.127,69.757,0,36.156,36.156
00:21.0,6978.137,0,35.127,69.757,0,36.218,36.218
00:22.0,6978.137,0,35.127,69.757,0,36.28,36.28
00:23.0,6978.137,0,35.127,69.757,0,36.342,36.342
00:24.0,6978.137,0,35.127,69.757,0,36.404,36.404
00:25.0,6978.137,0,35.127,69.757,0,36.466,36.466
00:26.0,6978.137,0,35.127,69.757,0,36.528,36.528
00:27.0,6978.137,0,35.127,69.757,0,36.59,36.59
00:28.0,6978.137,0,35.127,69.757,0,36.652,36.652
00:29.0,6978.137,0,35.127,69.757,0,36.714,36.714
00:30.0,6978.137,0,35.127,69.757,0,36.776,36.776
00:31.0,6978.137,0,35.127,69.757,0,36.838,36.838
00:32.0,6978.137,0,35.127,69.757,0,36.9,36.9
00:33.0,6978.137,0,35.127,69.757,0,36.963,36.963
00:34.0,6978.137,0,35.127,69.757,0,37.025,37.025
00:35.0,6978.137,0,35.127,69.757,0,37.087,37.087
00:36.0,6978.137,0,35.127,69.757,0,37.149,37.149
00:37.0,6978.137,0,35.127,69.757,0,37.211,37.211
00:38.0,6978.137,0,35.127,69.757,0,37.273,37.273
00:39.0,6978.137,0,35.127,69.757,0,37.335,37.335
00:40.0,6978.137,0,35.127,69.757,0,37.397,37.397
00:41.0,6978.137,0,35.127,69.757,0,37.459,37.459
00:42.0,6978.137,0,35.127,69.757,0,37.521,37.521
00:43.0,6978.137,0,35.127,69.757,0,37.583,37.583
00:44.0,6978.137,0,35.127,69.757,0,37.645,37.645
00:45.0,6978.137,0,35.127,69.757,0,37.707,37.707
00:46.0,6978.137,0,35.127,69.757,0,37.769,37.769
00:47.0,6978.137,0,35.127,69.757,0,37.831,37.831
00:48.0,6978.137,0,35.127,69.757,0,37.893,37.893
00:49.0,6978.137,0,35.127,69.757,0,37.955,37.955
00:50.0,6978.137,0,35.127,69.757,0,38.017,38.017
00:51.0,6978.137,0,35.127,69.757,0,38.08,38.08
00:52.0,6978.137,0,35.127,69.757,0,38.142,38.142
00:53.0,6978.137,0,35.127,69.757,0,38.204,38.204
00:54.0,6978.137,0,35.127,69.757,0,38.266,38.266
00:55.0,6978.137,0,35.127,69.757,0,38.328,38.328
00:56.0,6978.137,0,35.127,69.757,0,38.39,38.39
00:57.0,6978.137,0,35.127,69.757,0,38.452,38.452
00:58.0,6978.137,0,35.127,69.757,0,38.514,38.514
00:59.0,6978.137,0,35.127,69.757,0,38.576,38.576
01:00.0,6978.137,0,35.127,69.757,0,38.638,38.638
01:01.0,6978.137,0,35.127,69.757,0,38.7,38.7
01:02.0,6978.137,0,35.127,69.757,0,38.762,38.762
01:03.0,6978.137,0,35.127,69.757,0,38.824,38.824
01:04.0,6978.137,0,35.127,69.757,0,38.886,38.886
01:05.0,6978.137,0,35.127,69.757,0,38.948,38.948
01:06.0,6978.137,0,35.127,69.757,0,39.01,39.01
01:07.0,6978.137,0,35.127,69.757,0,39.072,39.072
01:08.0,6978.137,0,35.127,69.757,0,39.135,39.135
01:09.0,6978.137,0,35.127,69.757,0,39.197,39.197
01:10.0,6978.137,0,35.127,69.757,0,39.259,39.259
01:11.0,6978.137,0,35.127,69.757,0,39.321,39.321
01:12.0,6978.137,0,35.127,69.757,0,39.383,39.383
01:13.0,6978.137,0,35.127,69.757,0,39.445,39.445
01:14.0,6978.137,0,35.127,69.757,0,39.507,39.507
01:15.0,6978.137,0,35.127,69.757,0,39.569,39.569
01:16.0,6978.137,0,35.127,69.757,0,39.631,39.631
01:17.0,6978.137,0,35.127,69.757,0,39.693,39.693
01:18.0,6978.137,0,35.127,69.757,0,39.755,39.755
01:19.0,6978.137,0,35.127,69.757,0,39.817,39.817
01:20.0,6978.137,0,35.127,69.757,0,39.879,39.879
01:21.0,6978.137,0,35.127,69.757,0,39.941,39.941
01:22.0,6978.137,0,35.127,69.757,0,40.003,40.003
01:23.0,6978.137,0,35.127,69.757,0,40.065,40.065
01:24.0,6978.137,0,35.127,69.757,0,40.127,40.127
01:25.0,6978.137,0,35.127,69.757,0,40.189,40.189
01:26.0,6978.137,0,35.127,69.757,0,40.252,40.252
01:27.0,6978.137,0,35.127,69.757,0,40.314,40.314
01:28.0,6978.137,0,35.127,69.757,0,40.376,40.376
01:29.0,6978.137,0,35.127,69.757,0,40.438,40.438
01:30.0,6978.137,0,35.127,69.757,0,40.5,40.5
01:31.0,6978.137,0,35.127,69.757,0,40.562,40.562
01:32.0,6978.137,0,35.127,69.757,0,40.624,40.624
01:33.0,6978.137,0,35.127,69.757,0,40.686,40.686
01:34.0,6978.137,0,35.127,69.757,0,40.748,40.748
01:35.0,6978.137,0,35.127,69.757,0,40.81,40.81
01:36.0,6978.137,0,35.127,69.757,0,40.872,40.872
01:37.0,6978.137,0,35.127,69.757,0,40.934,40.934
01:38.0,6978.137,0,35.127,69.757,0,40.996,40.996
01:39.0,6978.137,0,35.127,69.757,0,41.058,41.058
01:40.0,6978.137,0,35.127,69.757,0,41.12,41.12
01:41.0,6978.137,0,35.127,69.757,0,41.182,41.182
01:42.0,6978.137,0,35.127,69.757,0,41.244,41.244
01:43.0,6978.137,0,35.127,69.757,0,41.306,41.306
01:44.0,6978.137,0,35.127,69.757,0,41.369,41.369
01:45.0,6978.137,0,35.127,69.757,0,41.431,41.431
01:46.0,6978.137,0,35.127,69.757,0,41.493,41.493
01:47.0,6978.137,0,35.127,69.757,0,41.555,41.555
01:48.0,6978.137,0,35.127,69.757,0,41.617,41.617
01:49.0,6978.137,0,35.127,69.757,0,41.679,41.679
01:50.0,6978.137,0,35.127,69.757,0,41.741,41.741
01:51.0,6978.137,0,35.127,69.757,0,41.803,41.803
01:52.0,6978.137,0,35.127,69.757,0,41.865,41.865
01:53.0,6978.137,0,35.127,69.757,0,41.927,41.927
01:54.0,6978.137,0,35.127,69.757,0,41.989,41.989
01:55.0,6978.137,0,35.127,69.757,0,42.051,42.051
01:56.0,6978.137,0,35.127,69.757,0,42.113,42.113
01:57.0,6978.137,0,35.127,69.757,0,42.175,42.175
01:58.0,6978.137,0,35.127,69.757,0,42.237,42.237
01:59.0,6978.137,0,35.127,69.757,0,42.299,42.299
02:00.0,6978.137,0,35.127,69.757,0,42.361,42.361
02:01.0,6978.137,0,35.127,69.757,0,42.423,42.423
02:02.0,6978.137,0,35.127,69.757,0,42.486,42.486
02:03.0,6978.137,0,35.127,69.757,0,42.548,42.548
02:04.0,6978.137,0,35.127,69.757,0,42.61,42.61
02:05.0,6978.137,0,35.127,69.757,0,42.672,42.672
02:06.0,6978.137,0,35.127,69.757,0,42.734,42.734
02:07.0,6978.137,0,35.127,69.757,0,42.796,42.796
02:08.0,6978.137,0,35.127,69.757,0,42.858,42.858
02:09.0,6978.137,0,35.127,69.757,0,42.92,42.92
02:10.0,6978.137,0,35.127,69.757,0,42.982,42.982
02:11.0,6978.137,0,35.127,69.757,0,43.044,43.044
02:12.0,6978.137,0,35.127,69.757,0,43.106,43.106
02:13.0,6978.137,0,35.127,69.757,0,43.168,43.168
02:14.0,6978.137,0,35.127,69.757,0,43.23,43.23
02:15.0,6978.137,0,35.127,69.757,0,43.292,43.292
02:16.0,6978.137,0,35.127,69.757,0,43.354,43.354
02:17.0,6978.137,0,35.127,69.757,0,43.416,43.416
02:18.0,6978.137,0,35.127,69.757,0,43.478,43.478
02:19.0,6978.137,0,35.127,69.757,0,43.54,43.54
02:20.0,6978.137,0,35.127,69.757,0,43.603,43.603
02:21.0,6978.137,0,35.127,69.757,0,43.665,43.665
02:22.0,6978.137,0,35.127,69.757,0,43.727,43.727
02:23.0,6978.137,0,35.127,69.757,0,43.789,43.789
02:24.0,6978.137,0,35.127,69.757,0,43.851,43.851
02:25.0,6978.137,0,35.127,69.757,0,43.913,43.913
02:26.0,6978.137,0,35.127,69.757,0,43.975,43.975
02:27.0,6978.137,0,35.127,69.757,0,44.037,44.037
02:28.0,6978.137,0,35.127,69.757,0,44.099,44.099
02:29.0,6978.137,0,35.127,69.757,0,44.161,44.161
02:30.0,6978.137,0,35.127,69.757,0,44.223,44.223
02:31.0,6978.137,0,35.127,69.757,0,44.285,44.285
02:32.0,6978.137,0,35.127,69.757,0,44.347,44.347
02:33.0,6978.137,0,35.127,69.757,0,44.409,44.409
02:34.0,6978.137,0,35.127,69.757,0,44.471,44.471
02:35.0,6978.137,0,35.127,69.757,0,44.533,44.533
02:36.0,6978.137,0,35.127,69.757,0,44.595,44.595
02:37.0,6978.137,0,35.127,69.757,0,44.657,44.657
02:38.0,6978.137,0,35.127,69.757,0,44.72,44.72
