Time (UTC),Semi-major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Arg of Perigee (deg),True Anomaly (deg),Mean Anomaly (deg)
773251200,6978.137,0,35.117,60.186,0,36.879,36.879
773251201,6978.137,0,35.117,60.186,0,36.941,36.941
773251202,6978.137,0,35.117,60.186,0,37.003,37.003
773251203,6978.137,0,35.117,60.186,0,37.065,37.065
773251204,6978.137,0,35.117,60.186,0,37.127,37.127
773251205,6978.137,0,35.117,60.186,0,37.189,37.189
773251206,6978.137,0,35.117,60.186,0,37.251,37.251
773251207,6978.137,0,35.117,60.186,0,37.313,37.313
773251208,6978.137,0,35.117,60.186,0,37.376,37.376
773251209,6978.137,0,35.117,60.186,0,37.438,37.438
773251210,6978.137,0,35.117,60.186,0,37.5,37.5
773251211,6978.137,0,35.117,60.186,0,37.562,37.562
773251212,6978.137,0,35.117,60.186,0,37.624,37.624
773251213,6978.137,0,35.117,60.186,0,37.686,37.686
773251214,6978.137,0,35.117,60.186,0,37.748,37.748
773251215,6978.137,0,35.117,60.186,0,37.81,37.81
773251216,6978.137,0,35.117,60.186,0,37.872,37.872
773251217,6978.137,0,35.117,60.186,0,37.934,37.934
773251218,6978.137,0,35.117,60.186,0,37.996,37.996
773251219,6978.137,0,35.117,60.186,0,38.058,38.058
773251220,6978.137,0,35.117,60.186,0,38.12,38.12
773251221,6978.137,0,35.117,60.186,0,38.182,38.182
773251222,6978.137,0,35.117,60.186,0,38.244,38.244
773251223,6978.137,0,35.117,60.186,0,38.306,38.306
773251224,6978.137,0,35.117,60.186,0,38.368,38.368
773251225,6978.137,0,35.117,60.186,0,38.43,38.43
773251226,6978.137,0,35.117,60.186,0,38.493,38.493
773251227,6978.137,0,35.117,60.186,0,38.555,38.555
773251228,6978.137,0,35.117,60.186,0,38.617,38.617
773251229,6978.137,0,35.117,60.186,0,38.679,38.679
773251230,6978.137,0,35.117,60.186,0,38.741,38.741
773251231,6978.137,0,35.117,60.186,0,38.803,38.803
773251232,6978.137,0,35.117,60.186,0,38.865,38.865
773251233,6978.137,0,35.117,60.186,0,38.927,38.927
773251234,6978.137,0,35.117,60.186,0,38.989,38.989
773251235,6978.137,0,35.117,60.186,0,39.051,39.051
773251236,6978.137,0,35.117,60.186,0,39.113,39.113
773251237,6978.137,0,35.117,60.186,0,39.175,39.175
773251238,6978.137,0,35.117,60.186,0,39.237,39.237
773251239,6978.137,0,35.117,60.186,0,39.299,39.299
773251240,6978.137,0,35.117,60.186,0,39.361,39.361
773251241,6978.137,0,35.117,60.186,0,39.423,39.423
773251242,6978.137,0,35.117,60.186,0,39.485,39.485
773251243,6978.137,0,35.117,60.186,0,39.547,39.547
773251244,6978.137,0,35.117,60.186,0,39.61,39.61
773251245,6978.137,0,35.117,60.186,0,39.672,39.672
773251246,6978.137,0,35.117,60.186,0,39.734,39.734
773251247,6978.137,0,35.117,60.186,0,39.796,39.796
773251248,6978.137,0,35.117,60.186,0,39.858,39.858
773251249,6978.137,0,35.117,60.186,0,39.92,39.92
773251250,6978.137,0,35.117,60.186,0,39.982,39.982
773251251,6978.137,0,35.117,60.186,0,40.044,40.044
773251252,6978.137,0,35.117,60.186,0,40.106,40.106
773251253,6978.137,0,35.117,60.186,0,40.168,40.168
773251254,6978.137,0,35.117,60.186,0,40.23,40.23
773251255,6978.137,0,35.117,60.186,0,40.292,40.292
773251256,6978.137,0,35.117,60.186,0,40.354,40.354
773251257,6978.137,0,35.117,60.186,0,40.416,40.416
773251258,6978.137,0,35.117,60.186,0,40.478,40.478
773251259,6978.137,0,35.117,60.186,0,40.54,40.54
773251260,6978.137,0,35.117,60.186,0,40.602,40.602
773251261,6978.137,0,35.117,60.186,0,40.664,40.664
773251262,6978.137,0,35.117,60.186,0,40.727,40.727
773251263,6978.137,0,35.117,60.186,0,40.789,40.789
773251264,6978.137,0,35.117,60.186,0,40.851,40.851
773251265,6978.137,0,35.117,60.186,0,40.913,40.913
773251266,6978.137,0,35.117,60.186,0,40.975,40.975
773251267,6978.137,0,35.117,60.186,0,41.037,41.037
773251268,6978.137,0,35.117,60.186,0,41.099,41.099
773251269,6978.137,0,35.117,60.186,0,41.161,41.161
773251270,6978.137,0,35.117,60.186,0,41.223,41.223
773251271,6978.137,0,35.117,60.186,0,41.285,41.285
773251272,6978.137,0,35.117,60.186,0,41.347,41.347
773251273,6978.137,0,35.117,60.186,0,41.409,41.409
773251274,6978.137,0,35.117,60.186,0,41.471,41.471
773251275,6978.137,0,35.117,60.186,0,41.533,41.533
773251276,6978.137,0,35.117,60.186,0,41.595,41.595
773251277,6978.137,0,35.117,60.186,0,41.657,41.657
773251278,6978.137,0,35.117,60.186,0,41.719,41.719
773251279,6978.137,0,35.117,60.186,0,41.781,41.781
773251280,6978.137,0,35.117,60.186,0,41.844,41.844
773251281,6978.137,0,35.117,60.186,0,41.906,41.906
773251282,6978.137,0,35.117,60.186,0,41.968,41.968
773251283,6978.137,0,35.117,60.186,0,42.03,42.03
773251284,6978.137,0,35.117,60.186,0,42.092,42.092
773251285,6978.137,0,35.117,60.186,0,42.154,42.154
773251286,6978.137,0,35.117,60.186,0,42.216,42.216
773251287,6978.137,0,35.117,60.186,0,42.278,42.278
773251288,6978.137,0,35.117,60.186,0,42.34,42.34
773251289,6978.137,0,35.117,60.186,0,42.402,42.402
773251290,6978.137,0,35.117,60.186,0,42.464,42.464
773251291,6978.137,0,35.117,60.186,0,42.526,42.526
773251292,6978.137,0,35.117,60.186,0,42.588,42.588
773251293,6978.137,0,35.117,60.186,0,42.65,42.65
773251294,6978.137,0,35.117,60.186,0,42.712,42.712
773251295,6978.137,0,35.117,60.186,0,42.774,42.774
773251296,6978.137,0,35.117,60.186,0,42.836,42.836
773251297,6978.137,0,35.117,60.186,0,42.898,42.898
773251298,6978.137,0,35.117,60.186,0,42.961,42.961
773251299,6978.137,0,35.117,60.186,0,43.023,43.023
773251300,6978.137,0,35.117,60.186,0,43.085,43.085
773251301,6978.137,0,35.117,60.186,0,43.147,43.147
773251302,6978.137,0,35.117,60.186,0,43.209,43.209
773251303,6978.137,0,35.117,60.186,0,43.271,43.271
773251304,6978.137,0,35.117,60.186,0,43.333,43.333
773251305,6978.137,0,35.117,60.186,0,43.395,43.395
773251306,6978.137,0,35.117,60.186,0,43.457,43.457
773251307,6978.137,0,35.117,60.186,0,43.519,43.519
773251308,6978.137,0,35.117,60.186,0,43.581,43.581
773251309,6978.137,0,35.117,60.186,0,43.643,43.643
773251310,6978.137,0,35.117,60.186,0,43.705,43.705
773251311,6978.137,0,35.117,60.186,0,43.767,43.767
773251312,6978.137,0,35.117,60.186,0,43.829,43.829
773251313,6978.137,0,35.117,60.186,0,43.891,43.891
773251314,6978.137,0,35.117,60.186,0,43.953,43.953
773251315,6978.137,0,35.117,60.186,0,44.015,44.015
773251316,6978.137,0,35.117,60.186,0,44.078,44.078
773251317,6978.137,0,35.117,60.186,0,44.14,44.14
773251318,6978.137,0,35.117,60.186,0,44.202,44.202
773251319,6978.137,0,35.117,60.186,0,44.264,44.264
773251320,6978.137,0,35.117,60.186,0,44.326,44.326
773251321,6978.137,0,35.117,60.186,0,44.388,44.388
773251322,6978.137,0,35.117,60.186,0,44.45,44.45
773251323,6978.137,0,35.117,60.186,0,44.512,44.512
773251324,6978.137,0,35.117,60.186,0,44.574,44.574
773251325,6978.137,0,35.117,60.186,0,44.636,44.636
773251326,6978.137,0,35.117,60.186,0,44.698,44.698
773251327,6978.137,0,35.117,60.186,0,44.76,44.76
773251328,6978.137,0,35.117,60.186,0,44.822,44.822
773251329,6978.137,0,35.117,60.186,0,44.884,44.884
773251330,6978.137,0,35.117,60.186,0,44.946,44.946
773251331,6978.137,0,35.117,60.186,0,45.008,45.008
773251332,6978.137,0,35.117,60.186,0,45.07,45.07
773251333,6978.137,0,35.117,60.186,0,45.132,45.132
773251334,6978.137,0,35.117,60.186,0,45.195,45.195
773251335,6978.137,0,35.117,60.186,0,45.257,45.257
773251336,6978.137,0,35.117,60.186,0,45.319,45.319
773251337,6978.137,0,35.117,60.186,0,45.381,45.381
773251338,6978.137,0,35.117,60.186,0,45.443,45.443
773251339,6978.137,0,35.117,60.186,0,45.505,45.505
773251340,6978.137,0,35.117,60.186,0,45.567,45.567
773251341,6978.137,0,35.117,60.186,0,45.629,45.629
773251342,6978.137,0,35.117,60.186,0,45.691,45.691
773251343,6978.137,0,35.117,60.186,0,45.753,45.753
773251344,6978.137,0,35.117,60.186,0,45.815,45.815
773251345,6978.137,0,35.117,60.186,0,45.877,45.877
773251346,6978.137,0,35.117,60.186,0,45.939,45.939
773251347,6978.137,0,35.117,60.186,0,46.001,46.001
773251348,6978.137,0,35.117,60.186,0,46.063,46.063
773251349,6978.137,0,35.117,60.186,0,46.125,46.125
773251350,6978.137,0,35.117,60.186,0,46.187,46.187
773251351,6978.137,0,35.117,60.186,0,46.249,46.249
773251352,6978.137,0,35.117,60.186,0,46.312,46.312
773251353,6978.137,0,35.117,60.186,0,46.374,46.374
773251354,6978.137,0,35.117,60.186,0,46.436,46.436
773251355,6978.137,0,35.117,60.186,0,46.498,46.498
773251356,6978.137,0,35.117,60.186,0,46.56,46.56
773251357,6978.137,0,35.117,60.186,0,46.622,46.622
773251358,6978.137,0,35.117,60.186,0,46.684,46.684
773251359,6978.137,0,35.117,60.186,0,46.746,46.746
773251360,6978.137,0,35.117,60.186,0,46.808,46.808
773251361,6978.137,0,35.117,60.186,0,46.87,46.87
773251362,6978.137,0,35.117,60.186,0,46.932,46.932
773251363,6978.137,0,35.117,60.186,0,46.994,46.994
773251364,6978.137,0,35.117,60.186,0,47.056,47.056
773251365,6978.137,0,35.117,60.186,0,47.118,47.118
773251366,6978.137,0,35.117,60.186,0,47.18,47.18
773251367,6978.137,0,35.117,60.186,0,47.242,47.242
773251368,6978.137,0,35.117,60.186,0,47.304,47.304
773251369,6978.137,0,35.117,60.186,0,47.367,47.367
773251370,6978.137,0,35.117,60.186,0,47.429,47.429
773251371,6978.137,0,35.117,60.186,0,47.491,47.491
773251372,6978.137,0,35.117,60.186,0,47.553,47.553
773251373,6978.137,0,35.117,60.186,0,47.615,47.615
773251374,6978.137,0,35.117,60.186,0,47.677,47.677
773251375,6978.137,0,35.117,60.186,0,47.739,47.739
773251376,6978.137,0,35.117,60.186,0,47.801,47.801
773251377,6978.137,0,35.117,60.186,0,47.863,47.863
773251378,6978.137,0,35.117,60.186,0,47.925,47.925
773251379,6978.137,0,35.117,60.186,0,47.987,47.987
773251380,6978.137,0,35.117,60.186,0,48.049,48.049
773251381,6978.137,0,35.117,60.186,0,48.111,48.111
773251382,6978.137,0,35.117,60.186,0,48.173,48.173
773251383,6978.137,0,35.117,60.186,0,48.235,48.235
773251384,6978.137,0,35.117,60.186,0,48.297,48.297
773251385,6978.137,0,35.117,60.186,0,48.359,48.359
773251386,6978.137,0,35.117,60.186,0,48.421,48.421
773251387,6978.137,0,35.117,60.186,0,48.484,48.484
773251388,6978.137,0,35.117,60.186,0,48.546,48.546
773251389,6978.137,0,35.117,60.186,0,48.608,48.608
773251390,6978.137,0,35.117,60.186,0,48.67,48.67
773251391,6978.137,0,35.117,60.186,0,48.732,48.732
773251392,6978.137,0,35.117,60.186,0,48.794,48.794
773251393,6978.137,0,35.117,60.186,0,48.856,48.856
773251394,6978.137,0,35.117,60.186,0,48.918,48.918
773251395,6978.137,0,35.117,60.186,0,48.98,48.98
773251396,6978.137,0,35.117,60.186,0,49.042,49.042
773251397,6978.137,0,35.117,60.186,0,49.104,49.104
773251398,6978.137,0,35.117,60.186,0,49.166,49.166
773251399,6978.137,0,35.117,60.186,0,49.228,49.228
773251400,6978.137,0,35.117,60.186,0,49.29,49.29
773251401,6978.137,0,35.117,60.186,0,49.352,49.352
773251402,6978.137,0,35.117,60.186,0,49.414,49.414
773251403,6978.137,0,35.117,60.186,0,49.476,49.476
773251404,6978.137,0,35.117,60.186,0,49.538,49.538
773251405,6978.137,0,35.117,60.186,0,49.601,49.601
773251406,6978.137,0,35.117,60.186,0,49.663,49.663
773251407,6978.137,0,35.117,60.186,0,49.725,49.725
773251408,6978.137,0,35.117,60.186,0,49.787,49.787
773251409,6978.137,0,35.117,60.186,0,49.849,49.849
773251410,6978.137,0,35.117,60.186,0,49.911,49.911
773251411,6978.137,0,35.117,60.186,0,49.973,49.973
773251412,6978.137,0,35.117,60.186,0,50.035,50.035
773251413,6978.137,0,35.117,60.186,0,50.097,50.097
773251414,6978.137,0,35.117,60.186,0,50.159,50.159
773251415,6978.137,0,35.117,60.186,0,50.221,50.221
773251416,6978.137,0,35.117,60.186,0,50.283,50.283
773251417,6978.137,0,35.117,60.186,0,50.345,50.345
773251418,6978.137,0,35.117,60.186,0,50.407,50.407
773251419,6978.137,0,35.117,60.186,0,50.469,50.469
773251420,6978.137,0,35.117,60.186,0,50.531,50.531
773251421,6978.137,0,35.117,60.186,0,50.593,50.593
773251422,6978.137,0,35.117,60.186,0,50.655,50.655
773251423,6978.137,0,35.117,60.186,0,50.718,50.718
773251424,6978.137,0,35.117,60.186,0,50.78,50.78
773251425,6978.137,0,35.117,60.186,0,50.842,50.842
773251426,6978.137,0,35.117,60.186,0,50.904,50.904
773251427,6978.137,0,35.117,60.186,0,50.966,50.966
773251428,6978.137,0,35.117,60.186,0,51.028,51.028
773251429,6978.137,0,35.117,60.186,0,51.09,51.09
773251430,6978.137,0,35.117,60.186,0,51.152,51.152
773251431,6978.137,0,35.117,60.186,0,51.214,51.214
773251432,6978.137,0,35.117,60.186,0,51.276,51.276
773251433,6978.137,0,35.117,60.186,0,51.338,51.338
773251434,6978.137,0,35.117,60.186,0,51.4,51.4
773251435,6978.137,0,35.117,60.186,0,51.462,51.462
773251436,6978.137,0,35.117,60.186,0,51.524,51.524
773251437,6978.137,0,35.117,60.186,0,51.586,51.586
773251438,6978.137,0,35.117,60.186,0,51.648,51.648
773251439,6978.137,0,35.117,60.186,0,51.71,51.71
773251440,6978.137,0,35.117,60.186,0,51.772,51.772
773251441,6978.137,0,35.117,60.186,0,51.835,51.835
773251442,6978.137,0,35.117,60.186,0,51.897,51.897
773251443,6978.137,0,35.117,60.186,0,51.959,51.959
773251444,6978.137,0,35.117,60.186,0,52.021,52.021
773251445,6978.137,0,35.117,60.186,0,52.083,52.083
773251446,6978.137,0,35.117,60.186,0,52.145,52.145
773251447,6978.137,0,35.117,60.186,0,52.207,52.207
773251448,6978.137,0,35.117,60.186,0,52.269,52.269
773251449,6978.137,0,35.117,60.186,0,52.331,52.331
773251450,6978.137,0,35.117,60.186,0,52.393,52.393
773251451,6978.137,0,35.117,60.186,0,52.455,52.455
773251452,6978.137,0,35.117,60.186,0,52.517,52.517
773251453,6978.137,0,35.117,60.186,0,52.579,52.579
773251454,6978.137,0,35.117,60.186,0,52.641,52.641
773251455,6978.137,0,35.117,60.186,0,52.703,52.703
773251456,6978.137,0,35.117,60.186,0,52.765,52.765
773251457,6978.137,0,35.117,60.186,0,52.827,52.827
773251458,6978.137,0,35.117,60.186,0,52.889,52.889
773251459,6978.137,0,35.117,60.186,0,52.952,52.952
