Time (UTC),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
773251200,-2284.023187,6138.037281,2408.761593,-5.290686,-3.327352,3.462096
773251201,-2289.312781,6134.706731,2412.222275,-5.288501,-3.333747,3.459268
773251202,-2294.600188,6131.369789,2415.680127,-5.286312,-3.340137,3.456436
773251203,-2299.885403,6128.026458,2419.135146,-5.284117,-3.346524,3.453601
773251204,-2305.16842,6124.676742,2422.587327,-5.281916,-3.352908,3.450761
773251205,-2310.449234,6121.320644,2426.036666,-5.279711,-3.359288,3.447917
773251206,-2315.72784,6117.958168,2429.483159,-5.2775,-3.365664,3.445069
773251207,-2321.004233,6114.589317,2432.926803,-5.275284,-3.372037,3.442217
773251208,-2326.278407,6111.214095,2436.367592,-5.273063,-3.378406,3.439361
773251209,-2331.550358,6107.832507,2439.805523,-5.270837,-3.384771,3.436501
773251210,-2336.820079,6104.444554,2443.240593,-5.268605,-3.391133,3.433637
773251211,-2342.087566,6101.050242,2446.672796,-5.266368,-3.397491,3.430769
773251212,-2347.352814,6097.649573,2450.102129,-5.264126,-3.403846,3.427897
773251213,-2352.615817,6094.242551,2453.528588,-5.261879,-3.410197,3.425021
773251214,-2357.876571,6090.829181,2456.952169,-5.259627,-3.416544,3.422141
773251215,-2363.135069,6087.409465,2460.372868,-5.257369,-3.422888,3.419256
773251216,-2368.391306,6083.983407,2463.79068,-5.255106,-3.429228,3.416368
773251217,-2373.645279,6080.551011,2467.205603,-5.252838,-3.435564,3.413476
773251218,-2378.89698,6077.11228,2470.617631,-5.250564,-3.441896,3.41058
773251219,-2384.146406,6073.667219,2474.026761,-5.248286,-3.448225,3.40768
773251220,-2389.39355,6070.215831,2477.432989,-5.246002,-3.45455,3.404776
773251221,-2394.638408,6066.75812,2480.836311,-5.243713,-3.460872,3.401867
773251222,-2399.880975,6063.294089,2484.236722,-5.241419,-3.46719,3.398955
773251223,-2405.121244,6059.823742,2487.63422,-5.23912,-3.473504,3.396039
773251224,-2410.359212,6056.347082,2491.028799,-5.236815,-3.479814,3.393119
773251225,-2415.594873,6052.864115,2494.420456,-5.234505,-3.486121,3.390195
773251226,-2420.828221,6049.374842,2497.809187,-5.23219,-3.492424,3.387267
773251227,-2426.059251,6045.879268,2501.194988,-5.22987,-3.498723,3.384335
773251228,-2431.287959,6042.377398,2504.577855,-5.227545,-3.505018,3.381399
773251229,-2436.514339,6038.869233,2507.957784,-5.225214,-3.51131,3.378459
773251230,-2441.738386,6035.354779,2511.334771,-5.222879,-3.517598,3.375515
773251231,-2446.960095,6031.834039,2514.708812,-5.220538,-3.523882,3.372567
773251232,-2452.17946,6028.307017,2518.079903,-5.218192,-3.530162,3.369615
773251233,-2457.396476,6024.773716,2521.448041,-5.21584,-3.536439,3.366659
