频率,幅度1,幅度2,幅度3,幅度4,幅度5,幅度6
100,1,2,3,4,5,6
200,1,2,3,4,5,6
300,1,2,3,4,5,6
400,1,2,3,4,5,6
500,1,2,3,4,5,6
600,1,2,3,4,5,6
700,1,2,3,4,5,6
800,1,2,3,4,5,6
900,1,2,3,4,5,6
1000,1,2,3,4,5,6
1100,1,2,3,4,5,6
1200,1,2,3,4,5,6
1300,1,2,3,4,5,6
1400,1,2,3,4,5,6
1500,1,2,3,4,5,6
1600,1,2,3,4,5,6
1700,1,2,3,4,5,6
1800,1,2,3,4,5,6
1900,1,2,3,4,5,6
2000,1,2,3,4,5,6
2100,1,2,3,4,5,6
2200,1,2,3,4,5,6
2300,1,2,3,4,5,6
2400,1,2,3,4,5,6
2500,1,2,3,4,5,6
2600,1,2,3,4,5,6
2700,1,2,3,4,5,6
2800,1,2,3,4,5,6
2900,1,2,3,4,5,6
3000,1,2,3,4,5,6
3100,1,2,3,4,5,6
3200,1,2,3,4,5,6
3300,1,2,3,4,5,6
3400,1,2,3,4,5,6
3500,1,2,3,4,5,6
3600,1,2,3,4,5,6
3700,1,2,3,4,5,6
3800,1,2,3,4,5,6
3900,1,2,3,4,5,6
4000,1,2,3,4,5,6
4100,1,2,3,4,5,6
4200,1,2,3,4,5,6
4300,1,2,3,4,5,6
4400,1,2,3,4,5,6
4500,1,2,3,4,5,6
4600,1,2,3,4,5,6
4700,1,2,3,4,5,6
4800,1,2,3,4,5,6
4900,1,2,3,4,5,6
5000,1,2,3,4,5,6
5100,1,2,3,4,5,6
5200,1,2,3,4,5,6
5300,1,2,3,4,5,6
5400,1,2,3,4,5,6
5500,1,2,3,4,5,6
5600,1,2,3,4,5,6
5700,1,2,3,4,5,6
5800,1,2,3,4,5,6
5900,1,2,3,4,5,6
6000,1,2,3,4,5,6
6100,1,2,3,4,5,6
6200,1,2,3,4,5,6
6300,1,2,3,4,5,6
6400,1,2,3,4,5,6
6500,1,2,3,4,5,6
6600,1,2,3,4,5,6
6700,1,2,3,4,5,6
6800,1,2,3,4,5,6
6900,1,2,3,4,5,6
7000,1,2,3,4,5,6
7100,1,2,3,4,5,6
7200,1,2,3,4,5,6
7300,1,2,3,4,5,6
7400,1,2,3,4,5,6
7500,1,2,3,4,5,6
7600,1,2,3,4,5,6
7700,1,2,3,4,5,6
7800,1,2,3,4,5,6
7900,1,2,3,4,5,6
8000,1,2,3,4,5,6
8100,1,2,3,4,5,6
8200,1,2,3,4,5,6
8300,1,2,3,4,5,6
8400,1,2,3,4,5,6
